,Protein,ENSG,UniProt,Source,Score,disease_id
1009,TYROBP,ENSG00000011600,O43914,uniprot_swissprot,0.12044391875925865,MONDO_0005180
1010,TEX101,ENSG00000131126,Q9BY14,uniprot_swissprot,0.12039969543270825,MONDO_0005180
1011,ITIH3,ENSG00000162267,Q06033,uniprot_swissprot,0.11955608982212702,MONDO_0005180
1012,TGM6,ENSG00000166948,O95932,uniprot_swissprot,0.1189995801549367,MONDO_0005180
1013,PDGFRB,ENSG00000113721,P09619,uniprot_swissprot,0.11895338267310111,MONDO_0005180
1014,SLC26A1,ENSG00000145217,Q9H2B4,uniprot_swissprot,0.11795629351010856,MONDO_0005180
1015,NUDT16L1,ENSG00000168101,Q9BRJ7,uniprot_swissprot,0.11783931237978494,MONDO_0005180
1016,ABL1,ENSG00000097007,P00519,uniprot_swissprot,0.11608348435476196,MONDO_0005180
1017,BCKDK,ENSG00000103507,O14874,uniprot_swissprot,0.11580803735043516,MONDO_0005180
1018,ZBTB4,ENSG00000174282,Q9P1Z0,uniprot_swissprot,0.11496919080015176,MONDO_0005180
1019,LRRC37A,ENSG00000176681,A6NMS7,uniprot_swissprot,0.11422286828597703,MONDO_0005180
1020,AUNIP,ENSG00000127423,Q9H7T9,uniprot_swissprot,0.1141583059119253,MONDO_0005180
1021,CCDC92,ENSG00000119242,Q53HC0,uniprot_swissprot,0.11403120620970772,MONDO_0005180
1022,STX1B,ENSG00000099365,P61266,uniprot_swissprot,0.11198667077081013,MONDO_0005180
1023,LAMP3,ENSG00000078081,Q9UQV4,uniprot_swissprot,0.11119412627586632,MONDO_0005180
1024,GRM5,ENSG00000168959,P41594,uniprot_swissprot,0.11016348844150382,MONDO_0005180
1025,NUP42,ENSG00000136243,O15504,uniprot_swissprot,0.11004599772922938,MONDO_0005180
1026,BCR,ENSG00000186716,P11274,uniprot_swissprot,0.10921084705932937,MONDO_0005180
1027,MLX,ENSG00000108788,Q9UH92,uniprot_swissprot,0.1085131806521028,MONDO_0005180
1028,PPIP5K2,ENSG00000145725,O43314,uniprot_swissprot,0.10827765004879598,MONDO_0005180
1029,GRM4,ENSG00000124493,Q14833,uniprot_swissprot,0.10791420132449997,MONDO_0005180
1030,BTNL2,ENSG00000204290,Q9UIR0,uniprot_swissprot,0.10736284319375243,MONDO_0005180
1031,TMEM248,ENSG00000106609,Q9NWD8,uniprot_swissprot,0.10734579299856356,MONDO_0005180
1032,GABBR1,ENSG00000204681,Q9UBS5,uniprot_swissprot,0.10731356781087716,MONDO_0005180
1033,HLA-DQA1,ENSG00000196735,P01909,uniprot_swissprot,0.10720202804371323,MONDO_0005180
1034,CHRNB1,ENSG00000170175,P11230,uniprot_swissprot,0.10667883077668547,MONDO_0005180
1035,SLC50A1,ENSG00000169241,Q9BRV3,uniprot_swissprot,0.10659300501445418,MONDO_0005180
1036,WNT9B,ENSG00000158955,O14905,uniprot_swissprot,0.10623041167389995,MONDO_0005180
1037,GABBR2,ENSG00000136928,O75899,uniprot_swissprot,0.10522759751439426,MONDO_0005180
1038,INSR,ENSG00000171105,P06213,uniprot_swissprot,0.10346297889192739,MONDO_0005180
1039,KPNA1,ENSG00000114030,P52294,uniprot_swissprot,0.1021240275355761,MONDO_0005180
1040,MPO,ENSG00000005381,P05164,uniprot_swissprot,0.1014002429399672,MONDO_0005180
1041,DDRGK1,ENSG00000198171,Q96HY6,uniprot_swissprot,0.0995123319483873,MONDO_0005180
1042,ASL,ENSG00000126522,P04424,uniprot_swissprot,0.0984516096966991,MONDO_0005180
1043,APOC1,ENSG00000130208,P02654,uniprot_swissprot,0.09805361560361743,MONDO_0005180
1044,ADAMTSL1,ENSG00000178031,Q8N6G6,uniprot_swissprot,0.09668007579867209,MONDO_0005180
1045,H4C11,ENSG00000197238,P62805,uniprot_swissprot,0.09596583055515634,MONDO_0005180
1046,ADH5,ENSG00000197894,P11766,uniprot_swissprot,0.09562878739966658,MONDO_0005180
1047,MMP8,ENSG00000118113,P22894,uniprot_swissprot,0.09544399747232422,MONDO_0005180
1048,MMP1,ENSG00000196611,P03956,uniprot_swissprot,0.09530027197328017,MONDO_0005180
